amount,time_of_day,location_risk,transaction_type
91.44,9,0.279,WITHDRAWAL
52.48,14,0.021,TRANSFER
28.69,14,0.131,WITHDRAWAL
4.35,15,0.134,PAYMENT
28.32,7,0.253,PAYMENT
73.13,11,0.337,WITHDRAWAL
22.63,14,0.29,TRANSFER
34.69,11,0.181,WITHDRAWAL
155.73,19,0.233,TRANSFER
47.11,8,0.47,PURCHASE
57.77,11,0.349,TRANSFER
67.85,13,0.047,PAYMENT
2.85,15,0.238,PAYMENT
19.26,14,0.179,WITHDRAWAL
380.65,7,0.574,PURCHASE
232.56,21,0.278,TRANSFER
25.97,11,0.181,PURCHASE
4.56,8,0.81,WITHDRAWAL
381.85,17,0.252,PAYMENT
112.34,8,0.262,WITHDRAWAL
58.92,15,0.109,WITHDRAWAL
91.83,10,0.277,WITHDRAWAL
34.28,10,0.369,WITHDRAWAL
762.11,9,0.386,WITHDRAWAL
39.65,18,0.16,TRANSFER
125.98,13,0.534,WITHDRAWAL
170.87,20,0.359,WITHDRAWAL
68.89,17,0.089,PAYMENT
200.42,7,0.293,TRANSFER
22.6,16,0.356,TRANSFER
35.0,17,0.587,TRANSFER
3.92,8,0.236,PURCHASE
24.4,13,0.239,PAYMENT
11.57,12,0.526,PURCHASE
134.12,11,0.399,TRANSFER
25.17,10,0.19,WITHDRAWAL
1.24,17,0.144,PURCHASE
5.05,15,0.049,TRANSFER
206.78,17,0.412,PURCHASE
256.66,9,0.025,TRANSFER
127.66,12,0.34,PAYMENT
371.42,15,0.309,PAYMENT
62.37,12,0.195,TRANSFER
36.9,20,0.267,PAYMENT
173.63,11,0.407,PAYMENT
68.76,15,0.249,WITHDRAWAL
33.03,8,0.334,PAYMENT
10.85,22,0.125,WITHDRAWAL
79.86,19,0.487,PURCHASE
128.5,16,0.243,PAYMENT
1058.44,11,0.141,PURCHASE
88.51,18,0.508,PURCHASE
29.02,9,0.348,PURCHASE
202.92,17,0.119,TRANSFER
76.97,11,0.468,PAYMENT
77.17,13,0.587,TRANSFER
49.83,18,0.3,WITHDRAWAL
335.22,16,0.327,WITHDRAWAL
9.71,22,0.396,WITHDRAWAL
68.81,22,0.219,PURCHASE
531.81,18,0.461,PAYMENT
249.71,14,0.586,PAYMENT
8.42,14,0.522,WITHDRAWAL
9.2,21,0.257,PURCHASE
5.48,22,0.402,PAYMENT
71.73,21,0.155,TRANSFER
47.67,16,0.442,PURCHASE
173.85,18,0.614,WITHDRAWAL
4.59,17,0.583,PAYMENT
7.28,7,0.143,TRANSFER
103.63,15,0.202,PURCHASE
4.76,15,0.339,WITHDRAWAL
205.44,15,0.123,WITHDRAWAL
50.38,13,0.214,WITHDRAWAL
271.15,12,0.219,TRANSFER
38.53,17,0.016,TRANSFER
326.41,14,0.13,TRANSFER
3195.52,10,0.319,WITHDRAWAL
22.14,16,0.378,PAYMENT
47.7,13,0.583,WITHDRAWAL
24.78,10,0.351,PAYMENT
0.93,11,0.449,WITHDRAWAL
96.08,19,0.179,WITHDRAWAL
79.87,11,0.622,WITHDRAWAL
36.07,20,0.162,WITHDRAWAL
42.22,22,0.25,WITHDRAWAL
313.63,10,0.047,PURCHASE
91.38,11,0.082,PURCHASE
304.98,13,0.509,PURCHASE
18.58,19,0.327,PAYMENT
52.69,7,0.074,TRANSFER
228.6,13,0.113,PURCHASE
70.68,8,0.246,PAYMENT
153.23,8,0.198,PAYMENT
11.85,10,0.247,TRANSFER
18.25,13,0.191,TRANSFER
29.07,13,0.096,TRANSFER
10.78,18,0.085,PURCHASE
33.12,10,0.569,PAYMENT
41.33,15,0.517,PURCHASE
37.23,22,0.518,WITHDRAWAL
39.73,18,0.14,PURCHASE
86.34,9,0.237,TRANSFER
25.68,11,0.302,PAYMENT
10.58,9,0.098,TRANSFER
60.77,13,0.37,PAYMENT
249.99,13,0.351,PURCHASE
13.39,11,0.417,PURCHASE
49.93,14,0.167,WITHDRAWAL
118.73,7,0.169,PURCHASE
150.77,10,0.377,PURCHASE
44.77,9,0.285,WITHDRAWAL
368.8,8,0.148,WITHDRAWAL
16.08,19,0.485,PAYMENT
218.22,9,0.369,WITHDRAWAL
154.47,16,0.276,WITHDRAWAL
138.27,16,0.343,PURCHASE
61.02,11,0.212,WITHDRAWAL
28.8,13,0.201,PAYMENT
13.94,10,0.38,TRANSFER
67.47,8,0.524,TRANSFER
188.93,17,0.36,PAYMENT
495.58,20,0.328,PURCHASE
132.78,11,0.203,PURCHASE
17.48,15,0.246,PAYMENT
35.94,8,0.309,PAYMENT
500.78,18,0.355,PURCHASE
27.28,10,0.44,WITHDRAWAL
22.45,10,0.052,PAYMENT
6453.64,17,0.268,WITHDRAWAL
46.97,22,0.116,TRANSFER
59.1,22,0.34,PURCHASE
10.97,19,0.212,PAYMENT
12.98,20,0.237,PURCHASE
5.34,19,0.153,TRANSFER
92.79,17,0.288,PAYMENT
44.63,10,0.268,PURCHASE
9.88,16,0.383,PAYMENT
93.28,20,0.145,WITHDRAWAL
33.2,16,0.122,WITHDRAWAL
27.29,14,0.239,PAYMENT
173.83,14,0.238,WITHDRAWAL
75.66,16,0.454,PURCHASE
10.28,10,0.548,PAYMENT
109.46,11,0.118,WITHDRAWAL
1142.25,15,0.227,PAYMENT
23.84,17,0.477,PAYMENT
52.43,8,0.433,PAYMENT
22.03,13,0.255,PURCHASE
12.32,19,0.385,WITHDRAWAL
9.39,22,0.411,PAYMENT
192.01,10,0.526,PURCHASE
18.2,7,0.57,WITHDRAWAL
3.42,14,0.508,TRANSFER
53.58,10,0.148,PURCHASE
252.44,14,0.321,TRANSFER
31.41,12,0.412,WITHDRAWAL
72.34,17,0.033,PAYMENT
6.31,15,0.24,PAYMENT
2.57,13,0.224,WITHDRAWAL
3.99,16,0.099,PAYMENT
296.9,16,0.43,PAYMENT
15.94,14,0.183,PAYMENT
74.55,19,0.202,WITHDRAWAL
1.31,18,0.411,WITHDRAWAL
81.82,7,0.241,PURCHASE
80.79,11,0.612,TRANSFER
9.64,17,0.222,PAYMENT
192.1,19,0.049,PAYMENT
67.97,11,0.512,WITHDRAWAL
51.76,16,0.24,TRANSFER
26.8,13,0.281,TRANSFER
116.78,10,0.102,TRANSFER
453.97,17,0.322,PURCHASE
211.47,22,0.028,PURCHASE
3.81,7,0.715,PURCHASE
36.79,12,0.37,PAYMENT
118.69,13,0.16,WITHDRAWAL
30.35,17,0.383,PURCHASE
25.24,8,0.149,TRANSFER
51.98,20,0.305,PURCHASE
20.3,16,0.233,WITHDRAWAL
133.2,8,0.181,WITHDRAWAL
383.16,13,0.506,WITHDRAWAL
67.8,18,0.399,TRANSFER
2.9,17,0.066,PAYMENT
72.71,16,0.174,PURCHASE
18.54,12,0.147,WITHDRAWAL
13.95,10,0.244,PAYMENT
76.08,10,0.361,PURCHASE
5.55,7,0.295,PURCHASE
88.89,20,0.331,TRANSFER
13.79,13,0.342,TRANSFER
254.46,16,0.111,PAYMENT
19.37,9,0.541,WITHDRAWAL
21.73,14,0.005,WITHDRAWAL
149.57,10,0.273,TRANSFER
66.3,9,0.447,PAYMENT
28.13,21,0.417,WITHDRAWAL
15.13,9,0.21,PAYMENT
25.1,9,0.335,PAYMENT
53.59,7,0.148,TRANSFER
326.08,19,0.221,PAYMENT
13.79,20,0.389,PURCHASE
25.87,14,0.176,PURCHASE
43.85,14,0.085,WITHDRAWAL
30.88,16,0.322,WITHDRAWAL
529.48,20,0.301,PAYMENT
79.61,14,0.185,WITHDRAWAL
107.51,20,0.336,PURCHASE
6.72,13,0.367,WITHDRAWAL
40.08,17,0.266,TRANSFER
66.85,13,0.139,PAYMENT
90.54,12,0.119,WITHDRAWAL
3.16,17,0.369,PURCHASE
32.26,7,0.347,PAYMENT
41.83,15,0.167,TRANSFER
70.15,15,0.474,TRANSFER
396.3,14,0.066,WITHDRAWAL
4.62,11,0.247,PURCHASE
429.87,19,0.251,WITHDRAWAL
35.51,7,0.208,WITHDRAWAL
94.61,17,0.241,WITHDRAWAL
86.51,18,0.048,WITHDRAWAL
21.22,15,0.02,PAYMENT
314.84,16,0.244,PAYMENT
22.18,11,0.491,PAYMENT
61.92,15,0.143,WITHDRAWAL
4707.07,9,0.159,PAYMENT
337.59,22,0.528,TRANSFER
16.54,20,0.357,TRANSFER
31.88,22,0.393,WITHDRAWAL
8.18,15,0.637,WITHDRAWAL
93.39,10,0.283,PAYMENT
16.93,17,0.19,PURCHASE
160.57,17,0.327,PURCHASE
5.53,11,0.207,PAYMENT
52.68,10,0.043,PAYMENT
33.98,15,0.195,WITHDRAWAL
23.75,7,0.274,TRANSFER
12.25,7,0.269,PAYMENT
132.55,17,0.296,PAYMENT
64.73,7,0.33,PURCHASE
66.66,13,0.096,PAYMENT
215.65,17,0.292,PAYMENT
276.02,16,0.385,TRANSFER
60.53,17,0.381,TRANSFER
23.26,12,0.147,PURCHASE
4.38,10,0.424,PAYMENT
58.1,16,0.042,WITHDRAWAL
6.29,10,0.209,WITHDRAWAL
24.3,15,0.352,TRANSFER
10.68,14,0.248,WITHDRAWAL
39.93,11,0.337,TRANSFER
12.08,7,0.347,PURCHASE
52.2,13,0.811,WITHDRAWAL
19.48,11,0.469,PAYMENT
60.3,12,0.258,PAYMENT
17.33,16,0.509,PURCHASE
6.99,16,0.25,PURCHASE
7.42,12,0.308,PAYMENT
123.04,19,0.113,PURCHASE
17.75,14,0.277,PAYMENT
11.68,22,0.188,WITHDRAWAL
9.83,17,0.159,PAYMENT
181.41,20,0.126,WITHDRAWAL
21.24,21,0.233,WITHDRAWAL
6.57,10,0.372,PAYMENT
9.69,9,0.326,PAYMENT
61.2,18,0.335,WITHDRAWAL
457.93,22,0.427,PURCHASE
19.61,14,0.205,TRANSFER
99.35,22,0.221,PAYMENT
6.73,14,0.505,WITHDRAWAL
333.14,7,0.193,TRANSFER
247.94,13,0.439,PAYMENT
327.5,15,0.21,WITHDRAWAL
583.4,13,0.097,PURCHASE
23.01,13,0.1,PURCHASE
10.11,10,0.416,PAYMENT
7.05,10,0.136,TRANSFER
61.19,8,0.163,PAYMENT
665.89,20,0.587,PAYMENT
14.05,17,0.312,PAYMENT
1102.81,20,0.222,WITHDRAWAL
4.32,11,0.151,TRANSFER
151.67,19,0.42,PURCHASE
101.19,8,0.297,PAYMENT
138.44,18,0.092,PURCHASE
55.66,17,0.492,PAYMENT
36.89,15,0.638,TRANSFER
4.06,13,0.18,WITHDRAWAL
38.42,15,0.389,WITHDRAWAL
4.26,17,0.509,WITHDRAWAL
9.12,8,0.515,TRANSFER
29.9,11,0.339,WITHDRAWAL
88.82,22,0.039,WITHDRAWAL
303.84,17,0.119,PURCHASE
92.28,15,0.116,PURCHASE
96.9,9,0.472,TRANSFER
399.61,21,0.389,PAYMENT
166.48,8,0.226,WITHDRAWAL
62.07,8,0.043,PAYMENT
85.02,15,0.177,PAYMENT
66.39,11,0.477,PURCHASE
447.38,15,0.388,PAYMENT
629.51,17,0.426,PURCHASE
415.11,8,0.381,TRANSFER
5.41,12,0.028,PAYMENT
523.83,9,0.373,WITHDRAWAL
246.36,19,0.567,TRANSFER
172.38,8,0.525,WITHDRAWAL
23.91,13,0.34,WITHDRAWAL
50.75,12,0.497,TRANSFER
188.98,14,0.151,PURCHASE
14.5,8,0.48,TRANSFER
60.83,14,0.184,WITHDRAWAL
21.11,14,0.279,PAYMENT
141.43,10,0.331,PAYMENT
536.63,9,0.418,PURCHASE
40.27,8,0.21,TRANSFER
458.87,9,0.116,WITHDRAWAL
91.01,18,0.226,WITHDRAWAL
9.07,15,0.389,PURCHASE
74.36,13,0.357,PAYMENT
2.32,10,0.422,PURCHASE
26.61,10,0.214,PAYMENT
385.05,11,0.502,PURCHASE
25.73,16,0.016,PURCHASE
2884.12,8,0.415,PURCHASE
106.98,21,0.192,TRANSFER
6.22,15,0.208,TRANSFER
122.41,8,0.197,TRANSFER
49.66,13,0.15,PURCHASE
255.63,11,0.474,WITHDRAWAL
26.17,11,0.124,PAYMENT
653.08,9,0.17,PAYMENT
33.13,9,0.132,WITHDRAWAL
8.64,22,0.095,PURCHASE
1599.68,12,0.349,WITHDRAWAL
60.97,10,0.166,WITHDRAWAL
234.09,12,0.195,PAYMENT
19.39,9,0.188,PAYMENT
372.66,16,0.108,PAYMENT
61.82,11,0.213,WITHDRAWAL
22.68,9,0.049,PAYMENT
331.74,22,0.563,PURCHASE
269.31,12,0.146,PAYMENT
27.32,11,0.114,PURCHASE
175.93,17,0.096,PAYMENT
35.82,9,0.284,PAYMENT
66.95,14,0.348,PAYMENT
291.98,15,0.163,WITHDRAWAL
58.13,15,0.307,TRANSFER
12.04,10,0.249,PURCHASE
59.33,13,0.211,WITHDRAWAL
18.82,11,0.131,WITHDRAWAL
17.3,18,0.749,TRANSFER
37.84,14,0.213,PURCHASE
330.84,9,0.089,WITHDRAWAL
73.54,17,0.27,PAYMENT
3.02,10,0.225,TRANSFER
66.48,12,0.231,TRANSFER
238.37,11,0.526,TRANSFER
75.95,13,0.84,TRANSFER
6.5,7,0.513,WITHDRAWAL
18.93,14,0.324,PURCHASE
220.32,10,0.103,PAYMENT
38.25,14,0.13,TRANSFER
24.34,11,0.595,WITHDRAWAL
92.34,11,0.283,WITHDRAWAL
39.79,20,0.266,TRANSFER
162.1,10,0.077,WITHDRAWAL
9.02,13,0.238,WITHDRAWAL
32.48,14,0.265,WITHDRAWAL
7.14,13,0.387,PAYMENT
39.83,15,0.611,WITHDRAWAL
7.05,12,0.223,PURCHASE
325.81,14,0.301,WITHDRAWAL
988.85,13,0.657,PURCHASE
204.6,14,0.14,PURCHASE
20.8,21,0.298,PURCHASE
157.42,14,0.723,TRANSFER
41.72,12,0.112,PAYMENT
130.69,17,0.28,TRANSFER
195.6,9,0.18,TRANSFER
96.46,16,0.293,PURCHASE
42.4,14,0.428,WITHDRAWAL
168.09,9,0.151,WITHDRAWAL
46.75,7,0.092,PAYMENT
27.16,10,0.217,WITHDRAWAL
29.12,9,0.209,TRANSFER
7.06,8,0.33,TRANSFER
27.45,11,0.346,PURCHASE
57.2,15,0.459,PURCHASE
242.01,16,0.109,PAYMENT
12.35,17,0.021,TRANSFER
484.76,9,0.152,TRANSFER
45.27,21,0.113,TRANSFER
16.42,9,0.405,PURCHASE
33.83,7,0.757,WITHDRAWAL
85.38,7,0.22,WITHDRAWAL
86.56,21,0.215,PURCHASE
61.63,19,0.303,TRANSFER
1.29,12,0.523,TRANSFER
2.51,13,0.295,WITHDRAWAL
164.65,10,0.428,PAYMENT
202.47,13,0.395,PURCHASE
63.7,13,0.264,PURCHASE
96.11,8,0.333,PAYMENT
13.03,14,0.154,PAYMENT
107.17,9,0.419,WITHDRAWAL
40.86,7,0.256,WITHDRAWAL
139.47,10,0.246,PAYMENT
250.82,7,0.073,WITHDRAWAL
33.96,12,0.052,PAYMENT
65.98,14,0.299,WITHDRAWAL
48.99,21,0.502,PAYMENT
23.83,8,0.38,WITHDRAWAL
22.01,8,0.22,PAYMENT
17.64,16,0.437,PURCHASE
32.6,16,0.261,PURCHASE
615.04,8,0.392,PAYMENT
16.47,15,0.133,WITHDRAWAL
78.05,22,0.539,PAYMENT
113.02,13,0.321,PURCHASE
839.4,17,0.142,WITHDRAWAL
71.38,16,0.441,WITHDRAWAL
6.84,10,0.451,PURCHASE
93.17,10,0.57,TRANSFER
61.73,19,0.391,PURCHASE
5.44,21,0.329,PAYMENT
6.05,17,0.202,TRANSFER
201.64,13,0.197,PAYMENT
162.34,16,0.235,PAYMENT
3.56,11,0.09,PURCHASE
80.68,17,0.207,PURCHASE
66.21,8,0.263,PAYMENT
35.79,9,0.474,PAYMENT
2.24,14,0.136,TRANSFER
51.04,17,0.107,WITHDRAWAL
98.91,17,0.651,TRANSFER
67.18,16,0.288,PAYMENT
35.6,8,0.126,TRANSFER
100.65,11,0.524,PAYMENT
13.28,8,0.155,WITHDRAWAL
50.14,16,0.004,WITHDRAWAL
15.64,12,0.072,WITHDRAWAL
183.4,7,0.198,PAYMENT
91.46,7,0.196,TRANSFER
11.72,12,0.272,TRANSFER
158.91,12,0.294,TRANSFER
0.53,11,0.399,WITHDRAWAL
26.47,19,0.126,PURCHASE
245.55,21,0.247,WITHDRAWAL
565.31,12,0.312,WITHDRAWAL
24.09,18,0.145,TRANSFER
460.43,15,0.301,PURCHASE
29.83,16,0.063,PURCHASE
72.24,15,0.351,WITHDRAWAL
49.21,7,0.646,WITHDRAWAL
6.15,15,0.086,PAYMENT
14.48,15,0.353,WITHDRAWAL
452.31,9,0.501,TRANSFER
56.44,11,0.215,TRANSFER
8.73,20,0.39,PURCHASE
3.59,15,0.456,PURCHASE
238.96,17,0.187,PAYMENT
159.8,13,0.237,PAYMENT
18.56,15,0.449,TRANSFER
129.99,11,0.289,PAYMENT
66.35,13,0.605,PURCHASE
265.33,17,0.224,WITHDRAWAL
11.06,12,0.127,PURCHASE
52.23,16,0.45,PURCHASE
82.27,8,0.196,WITHDRAWAL
53.13,19,0.387,PAYMENT
52.62,16,0.197,WITHDRAWAL
119.21,8,0.396,TRANSFER
7.09,16,0.46,PURCHASE
140.62,22,0.654,PAYMENT
1.61,14,0.066,PURCHASE
110.7,9,0.36,WITHDRAWAL
36.49,8,0.48,PURCHASE
14.71,12,0.121,WITHDRAWAL
7.42,13,0.3,TRANSFER
85.63,22,0.552,WITHDRAWAL
7.31,8,0.517,PURCHASE
110.76,17,0.417,TRANSFER
28.42,12,0.343,PAYMENT
18.19,16,0.436,PURCHASE
461.31,9,0.05,TRANSFER
1.16,16,0.219,PURCHASE
69.91,20,0.083,PURCHASE
359.46,21,0.312,WITHDRAWAL
41.2,11,0.222,WITHDRAWAL
14.59,9,0.195,PAYMENT
105.73,12,0.136,WITHDRAWAL
9.61,13,0.138,PAYMENT
17.31,18,0.61,TRANSFER
53.43,8,0.293,PURCHASE
6.92,17,0.463,PAYMENT
297.41,18,0.235,PURCHASE
119.41,8,0.261,WITHDRAWAL
35.02,22,0.211,PAYMENT
67.84,16,0.371,WITHDRAWAL
3.39,8,0.109,PAYMENT
9.24,14,0.376,TRANSFER
26.57,9,0.554,PAYMENT
4.82,9,0.191,WITHDRAWAL
57.38,13,0.141,TRANSFER
108.38,11,0.075,TRANSFER
42.54,14,0.25,WITHDRAWAL
16.02,12,0.371,PURCHASE
68.76,13,0.224,TRANSFER
141.52,11,0.266,TRANSFER
9.57,16,0.237,PURCHASE
204.83,16,0.263,TRANSFER
1.59,11,0.55,PURCHASE
129.79,22,0.291,TRANSFER
98.33,7,0.303,TRANSFER
26.54,10,0.473,PURCHASE
55.55,9,0.063,PURCHASE
174.4,11,0.404,PURCHASE
40.8,15,0.346,PURCHASE
114.75,9,0.072,TRANSFER
18.21,16,0.433,WITHDRAWAL
50.1,13,0.236,PURCHASE
24.69,11,0.389,WITHDRAWAL
2682.63,8,0.199,TRANSFER
85.1,14,0.134,PURCHASE
17.09,11,0.202,TRANSFER
9.68,12,0.038,TRANSFER
48.71,15,0.14,PAYMENT
398.88,12,0.332,PURCHASE
52.2,18,0.229,PAYMENT
132.07,7,0.025,TRANSFER
33.26,21,0.415,WITHDRAWAL
114.77,19,0.261,PURCHASE
167.22,12,0.036,PAYMENT
91.48,8,0.403,PURCHASE
264.83,16,0.521,PAYMENT
4.07,9,0.105,PAYMENT
92.72,11,0.294,PURCHASE
21.3,7,0.365,PURCHASE
19.32,7,0.185,WITHDRAWAL
112.63,8,0.359,PURCHASE
35.27,19,0.286,TRANSFER
10.0,12,0.191,TRANSFER
39.12,10,0.071,PAYMENT
10.09,11,0.193,PURCHASE
24.39,16,0.235,PURCHASE
94.83,13,0.084,PURCHASE
94.41,12,0.161,PURCHASE
33.36,8,0.208,PURCHASE
4.46,14,0.315,PURCHASE
78.58,10,0.45,WITHDRAWAL
9.07,18,0.218,TRANSFER
10.61,11,0.305,TRANSFER
11.43,16,0.53,WITHDRAWAL
8.68,16,0.681,PAYMENT
290.2,14,0.15,PAYMENT
17.73,11,0.408,WITHDRAWAL
10.17,9,0.548,TRANSFER
131.34,14,0.166,TRANSFER
95.42,8,0.158,PAYMENT
1.23,13,0.203,WITHDRAWAL
489.83,11,0.114,TRANSFER
11.98,12,0.04,WITHDRAWAL
22.49,16,0.591,WITHDRAWAL
5.24,11,0.259,PAYMENT
1024.19,12,0.248,PAYMENT
169.92,19,0.327,PURCHASE
133.85,9,0.301,WITHDRAWAL
6.11,12,0.411,TRANSFER
2.08,7,0.062,WITHDRAWAL
65.33,13,0.335,TRANSFER
365.11,9,0.202,PAYMENT
2.91,7,0.307,WITHDRAWAL
730.35,14,0.569,WITHDRAWAL
52.3,7,0.262,WITHDRAWAL
148.2,16,0.298,WITHDRAWAL
307.19,12,0.568,WITHDRAWAL
226.03,14,0.223,PURCHASE
67.45,9,0.188,PURCHASE
86.8,9,0.127,PAYMENT
2501.78,8,0.534,TRANSFER
444.15,9,0.171,TRANSFER
56.7,10,0.198,PAYMENT
288.62,18,0.118,PURCHASE
11.72,11,0.346,WITHDRAWAL
324.92,9,0.226,PAYMENT
0.74,12,0.22,TRANSFER
189.24,11,0.301,TRANSFER
119.59,9,0.314,WITHDRAWAL
17.0,13,0.128,PURCHASE
83.24,22,0.201,PURCHASE
137.12,12,0.583,WITHDRAWAL
511.51,14,0.426,PURCHASE
66.22,11,0.369,TRANSFER
105.05,11,0.329,PURCHASE
71.97,22,0.191,PAYMENT
3.46,8,0.334,PAYMENT
201.52,22,0.253,PURCHASE
243.48,8,0.145,TRANSFER
8.78,7,0.291,PURCHASE
13.52,8,0.315,WITHDRAWAL
65.02,8,0.168,PAYMENT
84.56,11,0.014,WITHDRAWAL
122.82,9,0.323,WITHDRAWAL
15.34,21,0.253,PURCHASE
53.73,19,0.135,PAYMENT
79.08,11,0.28,PURCHASE
16.73,15,0.315,PAYMENT
31.24,7,0.077,PURCHASE
208.36,15,0.233,WITHDRAWAL
329.93,15,0.299,TRANSFER
799.2,17,0.252,PURCHASE
32.55,12,0.197,PAYMENT
137.08,10,0.091,TRANSFER
26.07,10,0.205,TRANSFER
106.87,13,0.107,TRANSFER
42.95,10,0.26,TRANSFER
61.51,9,0.216,PURCHASE
70.07,10,0.301,PURCHASE
82.87,9,0.383,PAYMENT
24.0,9,0.193,PURCHASE
83.5,14,0.228,PAYMENT
87.58,13,0.059,PURCHASE
1160.3,10,0.48,PAYMENT
92.73,17,0.173,WITHDRAWAL
10.38,7,0.182,PAYMENT
24.33,19,0.13,PURCHASE
13.81,12,0.14,PAYMENT
370.5,20,0.1,WITHDRAWAL
54.47,17,0.351,PAYMENT
11.29,8,0.222,PAYMENT
90.87,17,0.249,PAYMENT
16.97,10,0.466,PAYMENT
178.76,15,0.223,PAYMENT
1646.65,11,0.504,WITHDRAWAL
22.21,8,0.196,TRANSFER
94.43,9,0.156,WITHDRAWAL
49.36,11,0.197,PURCHASE
12.81,11,0.195,TRANSFER
210.82,8,0.007,PURCHASE
57.23,7,0.022,PAYMENT
442.04,10,0.167,PAYMENT
159.4,11,0.462,TRANSFER
275.68,13,0.154,TRANSFER
77.74,18,0.216,PAYMENT
63.67,9,0.22,TRANSFER
9.43,14,0.173,WITHDRAWAL
14.31,14,0.469,TRANSFER
25.95,13,0.606,WITHDRAWAL
54.74,17,0.578,TRANSFER
4.1,16,0.462,TRANSFER
13.38,7,0.359,PAYMENT
11.0,17,0.114,TRANSFER
24.6,15,0.506,TRANSFER
68.93,16,0.068,WITHDRAWAL
85.32,16,0.172,PURCHASE
15.61,18,0.2,TRANSFER
131.75,21,0.121,TRANSFER
235.02,15,0.155,PAYMENT
1431.04,22,0.146,TRANSFER
265.13,17,0.223,PAYMENT
234.2,18,0.471,PURCHASE
312.27,12,0.165,PAYMENT
118.8,8,0.465,PURCHASE
65.0,19,0.326,PURCHASE
121.73,14,0.428,PAYMENT
167.73,13,0.421,WITHDRAWAL
19.96,10,0.095,PAYMENT
60.83,8,0.115,WITHDRAWAL
14.52,12,0.205,PURCHASE
11.62,20,0.347,PURCHASE
258.51,7,0.474,PAYMENT
199.58,17,0.385,PURCHASE
18.97,7,0.224,PAYMENT
78.56,14,0.138,PAYMENT
6.95,18,0.253,PURCHASE
391.12,8,0.335,TRANSFER
17.23,12,0.433,PAYMENT
11.31,15,0.173,PURCHASE
127.71,16,0.145,TRANSFER
1706.0,18,0.231,WITHDRAWAL
15.09,14,0.154,WITHDRAWAL
20.19,11,0.3,TRANSFER
46.02,13,0.278,WITHDRAWAL
191.12,16,0.191,WITHDRAWAL
24.91,10,0.228,PURCHASE
33.15,8,0.298,PURCHASE
147.03,20,0.196,WITHDRAWAL
43.35,8,0.166,WITHDRAWAL
127.36,16,0.43,TRANSFER
6.44,10,0.201,PAYMENT
12.44,11,0.201,TRANSFER
83.6,17,0.205,PURCHASE
1505.39,13,0.333,PAYMENT
40.29,13,0.151,PURCHASE
14.47,16,0.294,PURCHASE
74.44,7,0.341,WITHDRAWAL
72.03,17,0.373,PAYMENT
20.32,18,0.227,WITHDRAWAL
26.63,12,0.233,WITHDRAWAL
4.93,12,0.011,TRANSFER
697.0,15,0.333,TRANSFER
117.89,15,0.321,TRANSFER
8.81,10,0.515,TRANSFER
19.2,20,0.066,WITHDRAWAL
33.03,13,0.107,PURCHASE
38.71,17,0.356,TRANSFER
3.0,12,0.271,PAYMENT
0.93,12,0.314,PAYMENT
28.46,9,0.135,PURCHASE
44.39,13,0.317,TRANSFER
17.23,16,0.26,PAYMENT
23.27,9,0.178,PURCHASE
123.3,9,0.089,TRANSFER
216.86,11,0.241,WITHDRAWAL
4.93,10,0.269,PAYMENT
194.82,21,0.426,TRANSFER
496.51,13,0.124,WITHDRAWAL
114.32,10,0.085,PAYMENT
81.99,16,0.113,WITHDRAWAL
118.75,16,0.412,TRANSFER
349.19,19,0.417,WITHDRAWAL
82.09,12,0.475,PAYMENT
64.16,12,0.147,PAYMENT
54.92,14,0.54,WITHDRAWAL
174.32,17,0.031,WITHDRAWAL
415.96,10,0.067,TRANSFER
84.2,8,0.409,WITHDRAWAL
72.28,17,0.084,TRANSFER
12.54,16,0.191,PAYMENT
116.7,18,0.448,PURCHASE
488.43,9,0.263,PURCHASE
0.76,22,0.09,PURCHASE
169.35,22,0.496,TRANSFER
0.36,17,0.197,PAYMENT
50.64,12,0.143,WITHDRAWAL
922.07,14,0.163,TRANSFER
14.25,16,0.396,TRANSFER
21.36,15,0.183,WITHDRAWAL
47.42,21,0.398,TRANSFER
5.98,13,0.424,PAYMENT
657.03,15,0.452,PURCHASE
36.26,10,0.218,PAYMENT
158.48,18,0.704,TRANSFER
73.08,15,0.171,PURCHASE
82.7,7,0.195,WITHDRAWAL
8.87,10,0.387,PAYMENT
160.9,15,0.42,WITHDRAWAL
21.23,13,0.52,PURCHASE
49.39,22,0.073,PAYMENT
9.3,12,0.671,PAYMENT
142.68,12,0.221,PAYMENT
348.89,8,0.113,PAYMENT
9.86,15,0.63,PAYMENT
179.73,10,0.428,WITHDRAWAL
97.67,13,0.244,TRANSFER
652.46,12,0.396,TRANSFER
66.65,7,0.162,WITHDRAWAL
16.03,11,0.39,WITHDRAWAL
520.97,18,0.156,WITHDRAWAL
241.77,16,0.193,PAYMENT
23.9,13,0.375,TRANSFER
135.13,11,0.23,TRANSFER
141.42,20,0.198,TRANSFER
7.67,19,0.352,PAYMENT
39.44,10,0.149,WITHDRAWAL
5.53,10,0.219,PURCHASE
123.11,19,0.321,PAYMENT
91.04,16,0.036,PURCHASE
14.9,11,0.101,PAYMENT
636.79,17,0.411,PAYMENT
46.81,8,0.261,WITHDRAWAL
9.76,19,0.204,WITHDRAWAL
617.31,11,0.206,PAYMENT
78.69,11,0.265,PAYMENT
14.5,15,0.457,WITHDRAWAL
134.34,12,0.14,TRANSFER
9.36,7,0.027,TRANSFER
